Mother	Treatment	Weight	Littersize	Weight_before	Weight_after	difference	Partner	Weight1_P	Weight2_P	Dom1_P	Dom2_P	Dom1	Dom2
4956	C	2.64	4	20.4	25.2	4.8	6733f34	26.9	27.2	0.27692	0.09551	3.5	2.5
4956	C	2.5	4	20.4	25.2	4.8	6733f34	26.9	27.2	0.27692	0.09551	3.5	2.5
4956	C	2.46	4	20.4	25.2	4.8	6733f34	26.9	27.2	0.27692	0.09551	3.5	2.5
4957	AP	2.82	6	14.9	24.8	9.9	818	26	25.8	0.096969697	0.021621622	0.75	0.25
4957	AP	2.72	6	14.9	24.8	9.9	818	26	25.8	0.096969697	0.021621622	0.75	0.25
4957	AP	2.71	6	14.9	24.8	9.9	818	26	25.8	0.096969697	0.021621622	0.75	0.25
4957	AP	2.7	6	14.9	24.8	9.9	818	26	25.8	0.096969697	0.021621622	0.75	0.25
4957	AP	2.56	6	14.9	24.8	9.9	818	26	25.8	0.096969697	0.021621622	0.75	0.25
4959	C	1.81	4	19.6	21.9	2.3	3366	18.5	20.3	0.71845	0.64286	6	6
4959	C	1.97	4	19.6	21.9	2.3	3366	18.5	20.3	0.71845	0.64286	6	6
4959	C	2.16	4	19.6	21.9	2.3	3366	18.5	20.3	0.71845	0.64286	6	6
4959	C	1.98	4	19.6	21.9	2.3	3366	18.5	20.3	0.71845	0.64286	6	6
4965	AP	2.68	2	15.5	20.7	5.2	4982	19.8	21.3	0.72727	0.26452	6	3
4965	AP	2.92	2	15.5	20.7	5.2	4982	19.8	21.3	0.72727	0.26452	6	3
4966	C	2.77	4	17	19.6	2.6	3310	20.4	19.7	0.054054054	0.152631579	0	0.75
4966	C	2.5	4	17	19.6	2.6	3310	20.4	19.7	0.054054054	0.152631579	0	0.75
4966	C	2.53	4	17	19.6	2.6	3310	20.4	19.7	0.054054054	0.152631579	0	0.75
4966	C	2.8	4	17	19.6	2.6	3310	20.4	19.7	0.054054054	0.152631579	0	0.75
4969	C	2.03	4	12.7	18.2	5.5	4980	16.5	18.7	0.36364	0.53977	4.5	4.75
4969	C	2.63	4	12.7	18.2	5.5	4980	16.5	18.7	0.36364	0.53977	4.5	4.75
4969	C	2.27	4	12.7	18.2	5.5	4980	16.5	18.7	0.36364	0.53977	4.5	4.75
4969	C	2.08	4	12.7	18.2	5.5	4980	16.5	18.7	0.36364	0.53977	4.5	4.75
4976	C	3.01	2	18.2	22.2	4	4852	18.8	20.9	0.069892473	0.016304348	0.25	0
4976	C	2.67	2	18.2	22.2	4	4852	18.8	20.9	0.069892473	0.016304348	0.25	0
4992	AP	2.85	4	12.1	20.2	8.1	3385	19.5	18.9	0.18617	0.14211	1.75	1
4992	AP	2.7	4	12.1	20.2	8.1	3385	19.5	18.9	0.18617	0.14211	1.75	1
4992	AP	2.83	4	12.1	20.2	8.1	3385	19.5	18.9	0.18617	0.14211	1.75	1
4992	AP	2.93	4	12.1	20.2	8.1	3385	19.5	18.9	0.18617	0.14211	1.75	1
4997	W	3.08	5	15.2	21.2	6	819	21.3	20.7	0.021857923	0.023255814	0	0
4997	W	3.04	5	15.2	21.2	6	819	21.3	20.7	0.021857923	0.023255814	0	0
4997	W	3.06	5	15.2	21.2	6	819	21.3	20.7	0.021857923	0.023255814	0	0
4997	W	3.11	5	15.2	21.2	6	819	21.3	20.7	0.021857923	0.023255814	0	0
4997	W	2.91	5	15.2	21.2	6	819	21.3	20.7	0.021857923	0.023255814	0	0
5000	AP	2.31	4	17.3	21.2	3.9	753	17.8	20.8	0.38764	0.50331	4.75	6
5000	AP	2.7	4	17.3	21.2	3.9	753	17.8	20.8	0.38764	0.50331	4.75	6
5000	AP	2.64	4	17.3	21.2	3.9	753	17.8	20.8	0.38764	0.50331	4.75	6
5000	AP	2.47	4	17.3	21.2	3.9	753	17.8	20.8	0.38764	0.50331	4.75	6
3352_(0717)	C	2.13	5	15.6	22.7	7.1	3375	20.5	21.6	0.43931	0.28415	4.75	3
3352_(0717)	C	2.18	5	15.6	22.7	7.1	3375	20.5	21.6	0.43931	0.28415	4.75	3
3352_(0717)	C	2.29	5	15.6	22.7	7.1	3375	20.5	21.6	0.43931	0.28415	4.75	3
3352_(0717)	C	1.82	5	15.6	22.7	7.1	3375	20.5	21.6	0.43931	0.28415	4.75	3
3352_(0717)	C	2.21	5	15.6	22.7	7.1	3375	20.5	21.6	0.43931	0.28415	4.75	3
